X  CH2  CH3  Start  Increment  
Sequence  Volt  Volt  -1.200000e-03  2.000000e-06  
175  -0.32  -0.0164  -0.00085  2e-06  
176  -0.28  -0.0168  -0.000848  2e-06  
177  -0.36  -0.016  -0.000846  2e-06  
178  -0.32  -0.016  -0.000844  2e-06  
179  -0.4  -0.0152  -0.000842  2e-06  
180  -0.4  -0.0152  -0.00084  2e-06  
181  -0.36  -0.014  -0.000838  2e-06  
182  -0.36  -0.0144  -0.000836  2e-06  
183  -0.44  -0.0132  -0.000834  2e-06  
184  -0.44  -0.0136  -0.000832  2e-06  
185  -0.4  -0.012  -0.00083  2e-06  
186  -0.4  -0.0124  -0.000828  2e-06  
187  -0.48  -0.0108  -0.000826  2e-06  
188  -0.48  -0.0112  -0.000824  2e-06  
189  -0.44  -0.01  -0.000822  2e-06  
190  -0.44  -0.0104  -0.00082  2e-06  
191  -0.52  -0.0092  -0.000818  2e-06  
192  -0.52  -0.0096  -0.000816  2e-06  
193  -0.48  -0.0084  -0.000814  2e-06  
194  -0.52  -0.0088  -0.000812  2e-06  
195  -0.56  -0.0076  -0.00081  2e-06  
196  -0.52  -0.008  -0.000808  2e-06  
197  -0.56  -0.0068  -0.000806  2e-06  
198  -0.52  -0.0076  -0.000804  2e-06  
199  -0.6  -0.0064  -0.000802  2e-06  
200  -0.6  -0.0068  -0.0008  2e-06  
201  -0.52  -0.006  -0.000798  2e-06  
202  -0.56  -0.0064  -0.000796  2e-06  
203  -0.64  -0.0052  -0.000794  2e-06  
204  -0.64  -0.006  -0.000792  2e-06  
205  -0.56  -0.0048  -0.00079  2e-06  
206  -0.6  -0.0052  -0.000788  2e-06  
207  -0.64  -0.0044  -0.000786  2e-06  
208  -0.6  -0.0044  -0.000784  2e-06  
209  -0.68  -0.0048  -0.000782  2e-06  
210  -0.68  -0.0044  -0.00078  2e-06  
211  -0.6  -0.0036  -0.000778  2e-06  
212  -0.64  -0.004  -0.000776  2e-06  
213  -0.72  -0.0032  -0.000774  2e-06  
214  -0.72  -0.0032  -0.000772  2e-06  
215  -0.64  -0.0036  -0.00077  2e-06  
216  -0.72  -0.0028  -0.000768  2e-06  
217  -0.64  -0.0036  -0.000766  2e-06  
218  -0.72  -0.0024  -0.000764  2e-06  
219  -0.68  -0.0032  -0.000762  2e-06  
220  -0.68  -0.0024  -0.00076  2e-06  
221  -0.76  -0.0028  -0.000758  2e-06  
222  -0.76  -0.0028  -0.000756  2e-06  
223  -0.68  -0.002  -0.000754  2e-06  
224  -0.72  -0.0024  -0.000752  2e-06  
225  -0.76  -0.0016  -0.00075  2e-06  
226  -0.72  -0.0016  -0.000748  2e-06  
227  -0.76  -0.002  -0.000746  2e-06  
228  -0.72  -0.002  -0.000744  2e-06  
229  -0.8  -0.0012  -0.000742  2e-06  
230  -0.8  -0.0016  -0.00074  2e-06  
231  -0.72  -0.0012  -0.000738  2e-06  
232  -0.8  -0.0012  -0.000736  2e-06  
233  -0.72  -0.0016  -0.000734  2e-06  
234  -0.8  -0.0012  -0.000732  2e-06  
235  -0.76  -0.0008  -0.00073  2e-06  
236  -0.8  -0.0012  -0.000728  2e-06  
237  -0.76  -0.0008  -0.000726  2e-06  
238  -0.8  -0.0012  -0.000724  2e-06  
239  -0.76  -0.0004  -0.000722  2e-06  
240  -0.8  -0.0008  -0.00072  2e-06  
241  -0.76  -0.0012  -0.000718  2e-06  
242  -0.8  -0.0008  -0.000716  2e-06  
243  -0.76  -0.0008  -0.000714  2e-06  
244  -0.8  -0.0008  -0.000712  2e-06  
245  -0.76  -0.0008  -0.00071  2e-06  
246  -0.8  -0.0008  -0.000708  2e-06  
247  -0.76  -0.0004  -0.000706  2e-06  
248  -0.76  -0.0008  -0.000704  2e-06  
249  -0.84  0.0  -0.000702  2e-06  
250  -0.84  -0.0008  -0.0007  2e-06  
251  -0.76  -0.0004  -0.000698  2e-06  
252  -0.76  -0.0008  -0.000696  2e-06  
253  -0.84  -0.0004  -0.000694  2e-06  
254  -0.8  -0.0008  -0.000692  2e-06  
255  -0.76  -0.0008  -0.00069  2e-06  
256  -0.84  -0.0012  -0.000688  2e-06  
257  -0.76  -0.0004  -0.000686  2e-06  
258  -0.76  -0.0004  -0.000684  2e-06  
259  -0.8  -0.0012  -0.000682  2e-06  
260  -0.76  -0.0008  -0.00068  2e-06  
261  -0.8  -0.0012  -0.000678  2e-06  
262  -0.76  -0.0008  -0.000676  2e-06  
263  -0.8  -0.0012  -0.000674  2e-06  
264  -0.8  -0.0012  -0.000672  2e-06  
265  -0.72  -0.0016  -0.00067  2e-06  
266  -0.72  -0.0012  -0.000668  2e-06  
267  -0.8  -0.0016  -0.000666  2e-06  
268  -0.8  -0.002  -0.000664  2e-06  
269  -0.72  -0.0012  -0.000662  2e-06  
270  -0.72  -0.0016  -0.00066  2e-06  
271  -0.76  -0.002  -0.000658  2e-06  
272  -0.72  -0.0016  -0.000656  2e-06  
273  -0.76  -0.002  -0.000654  2e-06  
274  -0.76  -0.002  -0.000652  2e-06  
275  -0.68  -0.0024  -0.00065  2e-06  
276  -0.76  -0.002  -0.000648  2e-06  
277  -0.68  -0.0024  -0.000646  2e-06  
278  -0.76  -0.002  -0.000644  2e-06  
279  -0.68  -0.0028  -0.000642  2e-06  
280  -0.72  -0.0024  -0.00064  2e-06  
281  -0.68  -0.0032  -0.000638  2e-06  
282  -0.72  -0.0028  -0.000636  2e-06  
283  -0.64  -0.0032  -0.000634  2e-06  
284  -0.72  -0.0028  -0.000632  2e-06  
